player,team,opponent,opposing_pitcher,confirmed_lineup,lineup_status,lineup_source,late_hitter_lock_status,late_hitter_lock_note,today_lineup_slot,projected_pa,model_hit_probability,secondary_hit_probability,third_hit_probability,pa_path_hit_probability,odds,current_snapshot_odds,current_dk_hit_odds,pregame_to_0for1_fair_odds_move,first_pa_no_hit_games,recovery_hit_rate_after_0for1,bayes_recovery_hit_rate,fair_live_odds_after_0for1,first_pa_hit_rate,full_game_hit_rate,avg_remaining_pa_after_0for1,leadoff_samples,leadoff_recovery_hit_rate,sample_flag,buyback_watch_score,late_hitter_pool_rank,sharpie_late_hitter_reserved,sharpie_late_hitter_slot
Brenton Doyle,COL,,,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,2.0,4.5,0.5683,0.6116,0.6333,0.6711,-176,-176,-176,298,2,0.5,0.4501370623546966,122,0.3333333333333333,0.6666666666666666,3.0,0,,thin,55.09997290213632,137,False,
Xander Bogaerts,SD,AZ,Eduardo Rodriguez,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,4.03,4.28,0.6203,0.6447,0.6501,0.6699,-197,-197,-197,330,12,0.4166666666666667,0.4292466197069063,133,0.2,0.5333333333333333,2.9166666666666665,1,0.0,strong,54.82392167680045,138,False,
Michael Massey,KC,MIN,Joe Ryan,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,4.61,4.2,0.5796,0.6025,0.6147,0.6369,-190,-190,-190,313,11,0.45454545454545453,0.44790951621590225,123,0.21428571428571427,0.5714285714285714,2.0,0,,usable,54.80815162159023,139,False,
Spencer Torkelson,DET,SEA,Emerson Hancock,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,4.76,4.18,0.5653,0.6118,0.6188,0.6421,-143,-143,-143,273,14,0.42857142857142855,0.43468918742175966,130,0.2222222222222222,0.5555555555555556,2.9285714285714284,0,,strong,54.44451874217596,140,False,
Brady House,WSH,,,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,3.8,4.3,0.6022,0.6316,0.6397,0.6595,-161,-161,-161,280,4,0.5,0.4563699295603595,119,0.2,0.6,3.25,0,,thin,54.00305266214576,141,False,
Ke'Bryan Hayes,CIN,ATH,J.T. Ginn,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,5.0,4.15,0.5733,0.6141,0.6239,0.6473,-131,-131,-131,264,5,0.4,0.42952463958622067,133,0.0,0.4,2.6,0,,usable,53.71172366473189,142,False,
Carson Kelly,CHC,LAD,Tarik Skubal,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,4.2,4.25,0.6231,0.6329,0.6409,0.6611,-154,-154,-154,291,10,0.4,0.422814494225716,137,0.16666666666666666,0.5,2.4,0,,usable,53.694975795348086,143,False,
Andruw Monasterio,BOS,CWS,Davis Martin,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,5.0,4.15,0.6104,0.6312,0.6393,0.6623,-191,-191,-191,317,9,0.4444444444444444,0.4429485177602739,126,0.18181818181818182,0.5454545454545454,2.111111111111111,0,,usable,53.662947845773566,144,False,
Spencer Jones,NYY,STL,Hunter Dobbins,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,4.38,4.23,0.4914,0.6066,0.6116,0.6323,-163,-163,-163,296,5,0.4,0.42952463958622067,133,0.0,0.4,1.4,0,,usable,53.62492366473189,145,False,
Jose Caballero,NYY,STL,Hunter Dobbins,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,4.25,4.25,0.4911,0.603,0.6223,0.6414,-174,-174,-174,291,6,0.5,0.461217715164764,117,0.25,0.625,2.0,0,,usable,53.6149715164764,146,False,
Daulton Varsho,TOR,HOU,Hayden Wesneski,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,3.91,4.29,0.5962,0.6278,0.6405,0.6592,-166,-166,-166,303,10,0.4,0.422814494225716,137,0.375,0.625,3.0,0,,usable,53.30784942257159,147,False,
Heriberto Hernandez,MIA,ATL,Grant Holmes,False,Lineup Wait,,HOLD,HOLD: wait for confirmed lineup before using this as a Sharpie late-hitter target.,3.43,4.34,0.6124,0.6288,0.6409,0.6591,-183,-183,-183,316,5,0.4,0.42952463958622067,133,0.5,0.7,2.0,0,,usable,53.30726395862207,148,False,
